text,language
ary soraty eo amin'ny tolam-baravaran'ny tranonao sy eo amin'ny vavahadinao izy;,Plateau Malgasy
"Rehefa namatotra azy tamin'ny kofehy hoditra izy ireo, dia hoy Paoly tamin'ilay kapiteny izay nitsangana teo: ""Ara-dalàna ho anareo ve ny manakaravasy lehilahy izay Romana sy tsy mbola notsaraina akory?",Plateau Malgasy
"Io menaka manitra io dia afaka namidy mihoatry ny denaria telonjato, ary nomena ny mahantra.""",Plateau Malgasy
"Ireo anjely, ireo manam-pahefana, ary ny hery dia tsy maintsy manaiky Azy.",Plateau Malgasy
"Nefa Estera tsy mbola nilaza ny fireneny na ny fianakaviany, satria nopeperan'i Mordekay mba tsy hilaza izany izy.",Plateau Malgasy
"Ary tonga ny andro firavoravoana tany Jerosalema, dia ilay atao hoe Fitokanana, ary efa ririnina ny andro.",Plateau Malgasy
"Dia hahenako ny ranony, ary hampandehaniko toy ny diloilo ny oniny, hoy Jehovah Tompo, [Na. hampandriko hadio]",Plateau Malgasy
"Noho ny halehiben'ny famindram-pon'Andriamanitsika, izay hiposahan'ny mazava avy any amin'ny avo ho antsika.",Plateau Malgasy
Lists of the highest lakes in the US and the world,Sundanese
"Sadérék - sadérék sering nanya, ""Iraha atuh urang kongrés deui?"" - Tina arsip urang di Amerika Tengah.",Sundanese
"Dumasar kana wacana rajah anu kungsi kakumpulkeun, anu disambat dina rajah téh kayaning déwata, batara, batari, pohaci, para luluhur, karuhun, para nabi, Allah swt.",Sundanese
"Dina manusa, ngising téh (gumantung masing-masing jeung kaayaan) bisa unggal dua-tilu poé nepi ka sababaraha kali sapoé.",Sundanese
"Hal ieu perlu dipigawé pikeun ngajaga sangkan wangun motifna tetep alus sarta benang mas-na henteu pegat, ku kituna songkétnya tetep dina kaayaan alus sarta rapih.",Sundanese
Panon tileng ngandung harti teu hayang ningali hal-hal nu ngabalukarkeun maksiat atawa simbol ayana rasa waspada.,Sundanese
"Dina ping 26 Pébruari 2010, peta séismik nu teu wajar dibarengan ku ngalegaanana kulit bumi kacida gancangna nu kadaptar ku Institut Météorologi Islandia.",Sundanese
"Kultivar cau # AAB anu nyebar di sabudeureun Pilipina 4000 taun anu geus kaliwat, ngajadi hiji sabab kaluarna kultivar cau anu béda tur dipikawanoh salaku Maia Maoli atawa Popoulo ieu cau-cau anu hirup di kapuloan Pasifik.",Sundanese
"Але якщо ми прощаємо іншим, наш небесний Отець дасть прощення і нам.",Ukrainian
"Це вказує на те, що Єгова виявляє мудрість, буквально спричиняючи себе ставати тим, чим потрібно, щоб виконувати свої наміри.",Ukrainian
"Я втратив усе майно, але надзвичайно радів, що зрештою міг бути в безпеці у філіалі.",Ukrainian
"Сьогоднішні представники духівництва дозволяють перелюбникам та гомосексуалістам залишатися у своїх рядах, а навіть служити при церкві.",Ukrainian
"Я почав дружити з одним наркоманом, який у дитинстві залишився без батька.",Ukrainian
UAC Foods ha reconocido que no triunfaría en las tiendas.,Spanish
¿Qué hace que los musulmanes jóvenes en Occidente sean susceptibles al radicalismo?,Spanish
"Y da una ligera sensación de que Isaías lo sabe, porque dice, por supuesto, es Dios quien habla: """" Te he llamado por tu nombre mas tú no me conoces """".",Spanish
"De modo que la elección de Morales hizo historia, y el entusiasmo en Bolivia es palpable.",Spanish
"Ahora ella ha disuelto el parlamento y ha convocado a elecciones para abril, tres años antes de tiempo.",Spanish
"Parece que la mayoría de la gente tolera un grado limitado de represión política, incluidas la policía secreta, la tortura y la corrupción, si brinda seguridad y un mínimo de prosperidad y equidad.",Spanish
"En Finlandia, un hasta entonces ignoto Partido de los Verdaderos Finlandeses pudo capitalizar el resentimiento provocado por los paquetes de rescate implementados en la eurozona y terminó tercero (muy cerca del segundo) en la elección general de abril de este año.",Spanish
"Y luego se dijo a sí mismo, """" No quiero morir.",Spanish
"Ahora, Faro es una pequeña y bulliciosa ciudad, y para llegar a la playa, explicaba ella, tendríamos que tomar un bus y luego un bote,",Spanish
DESENVOLVIMENTO DAS POLÍTICAS EXISTENTES / CRIAÇÃO DE NOVAS POLÍTICAS a do Tratado (CEE):,Portuguese
"Os outros grupos do Conselho, que se reúnem menos frequentemente, podem enviar, entre as suas sessões, um dossier ao Grupo dos Conselheiros PESC a fim de que este assegure o respectivo acompanhamento.",Portuguese
"No final de 1980, o Tribunal era composto por nove juízes e quatro advogados gerais.",Portuguese
"Blot (NI). - (FR) Senhor Presidente, em relação ao primeiro texto, a alteração 4 ao artigo 2 ° introduz desordenadamente, na minha opinião, todas as espécies de operações de inspecções multinacionais, que não respondem a qual quer necessidade de serviço, mas sim, de facto, a necessidades de propaganda política.",Portuguese
"Outra conclusão principal: é possível concretizar o objectivode, pelo menos, 20% em 2020 no que toca ao abastecimentode energia.",Portuguese
"A Turquia, cuja elegibilidade para a adesão é incontestável, mas que não preenche, actualmente, as condições políticas necessárias para tal, deverá poder ocupar o lugar que lhe compete no seio da nossa abordagem global de alargamento.",Portuguese
"É igualmente necessário ter em conta os condicionalismos externos (chuva, nas instalações ao ar livre), a tensão empregue e a competência das pessoas com acesso a partes da instalação.",Portuguese
"De duas, uma: ou deixa mos de investir, retirando tudo, ou estabelecemos uma melhor comunicação com a Indonésia por intermédio das nossas delegações parlamentares, por intermédio das organizações dos direitos do Homem existentes no país, por intermédio de uma delegação que visite Timor, porque nesse caso haverá uma relação diferente com o país e oportunidade para podermos abordar devidamente a questão de Timor, caso os nossos colegas portugueses, de todos os quadrantes políticos, se esforcem por isso a 200 por cento.",Portuguese
ယေ ဟော ဝါ သည ် သူ တို ့ ကို စင ် ကြယ ် သော ဘာသာစကား ပေးအပ ် ထားသည ် ။,Burmese
ငွေကြေး အသုံးပြု နိုင ် ပါ က နောက ် ဆုံး ၌ အဝေး ပြေး အ မြန ် သွား ကား လမ ် းမ ကြီး ကို တည ် ဆောက ် ကြ သည ် ။,Burmese
ကျွန ် ုပ ် တို ့ အချိန ် တွင ် လည ် း အမှန ် ပင ် အန္တရာယ ် ရှိ နေ ပါသည ် ။,Burmese
သင ့ ် သွား နှင ့ ် ပတ ် သက ် ၍ ပြစ ် တင ် ခံ ရ မည ် ကို ကြောက ် ရွံ ့ နေ ခြင ် း ဖြစ ် ပေ မည ် ။,Burmese
အဲဒီ တိုက ် နယ ် မှာ ဘ ရွတ ် က လင ် နဲ ့ ကွ င ် း စ ် မှာ ရှိ တဲ ့ နယ ် မြေ တွေ လည ် း ပါ တယ ် ။,Burmese
ထိုမိန ် းမ ၏ လက ် ကို တို ့ တော ် မူလျှင ် ၊ သူသည ် အဖျားပျောက ် သဖြင ် ့ ထ ၍ ဧည ် ့ သည ် ဝတ ် ကို ပြုလေ ၏ ။,Burmese
မှုတ ် သွင ် း ခံ ကျမ ် းစာ အပိုင ် း တစ ် ခု အနေ နှင ့ ် ယေ ဇ ကျေ လ ကျမ ် း တွင ် 'အသက ် ရှင ် ခြင ် း ၊,Burmese
ကိုယ ် ကို ကယ ် တင ် ခြင ် း ငှာ လုပ ် ဆောင ် နေ လော ့! ၊,Burmese
အဘယ ် သို ့ နည ် းဟူမူကား ၊ ဤသူသည ် ငါ နှစ ် သက ် မြတ ် နိုးရာ ၊ ငါ ၏ ချစ ် သား ပေတည ် းဟူသော အသံတော ် သည ် ၊ ထူးမြတ ် သောအရောင ် အဝါတော ် ထဲက ၊ ထိုသခင ် သို ့ ရောက ် သောအခါ ၊ ခမည ် းတော ် ဘုရားသခင ် ့ အထံတော ် မှ ဂုဏ ် သရေဘုန ် းအာနုဘော ် ကိုခံရတော ် မူ ၏ ။,Burmese
Полека почнав да сфаќам дека привлечноста на она што го работам можеби има врска со причината поради која го работам тоа.,Macedonian
"„Бугарија е посветена на највисоко политичко ниво стриктно да ги следи сите барања“, додаде таа, изразувајќи надеж дека финалниот годишен извештај, кој се очекува во јули, ќе биде попозитивен.",Macedonian
"Од 10-ти до 24-ми мај во Софија и други бугарски градови ќе се одржи Европскиот музички фестивал, во рамките на кој ќе се одржат концерти на класична, џез и етно музика, како и конференција насловена како „Културата во ЕУ: Меѓуповрзување и идентитет“.",Macedonian
"Според новиот закон, роднините ќе бидат само информирани дека детето ќе може да биде посвоено без притисок да го посвојат.",Macedonian
Тој ја врами сликата којашто ја беше купил на улица.,Macedonian
"Велат, """" Па, секако не е толку глупав да се прободе себеси за да не забавува нас неколку минути. """"",Macedonian
"Роден во Приштина, синот на познатиот косовски фудбалер Агим Кана го поминал најголемиот дел од своето детство размислувајќи и сонувајќи за фудбалот.",Macedonian
"Хрватскиот претседател Стипе Месиќ и неговиот колега од Србија и Црна Гора, Светозар Маровиќ, во средата (6-ти јули) се согласија со потребата од понатамошни напори за решавање на сите заостанати проблеми од конфликтот 1991-1995 година.",Macedonian
"3: 27) Han bata pa hi Hadi David, nahibaro hiya nga magin maopay nga magbarantay hin karnero.",Waray
"Bisan kon an mga tuminungnong nga nagbubuhat hin maopay bangin apresyaron han hitaas nga mga awtoridad, ini nga mga awtoridad gintutugotan liwat ha pagsirot han mga nakakasayop.",Waray
"Waray gud kapariho an personal nga pakiistorya ha usa, diin pariho niyo maoobserbaran an gudtiay nga detalye han tono han tingog, ekspresyon han nawong, ngan gios han lawas. - Prinsipyo ha Biblia: 1 Tesalonica 2: 17.",Waray
An mga payunir hadto sigurado nga nagkinahanglan hin pagdasig ngan pagparig - on basi malamposan an damu nga kakurian.,Waray
(a) Ano nga hilo an ginagamit ni Satanas ha pagsari ha pagdaot han aton espirituwalidad?,Waray
Ginsidngan kami han sanga nga opisina nga bumalhin ha bag - o nga naporma nga kongregasyon ha Irlam.,Waray
Kay ano nga an paglakat kaupod han Dios amo an gimaopayi nga paagi han pagkinabuhi?,Waray
Usa ini nga higayon para ha Dios nga ipakita an iya kalooy.,Waray
"Sugad nga resulta, napatubo niya an maopay nga mga kalidad nga tungod hito nagin presyoso hiya ha Dios ngan ha iya bana ngan nagin birilhon nga membro han siyahan nga kongregasyon.",Waray
"Go motho yo a tšofetšego goba yo a sa tlwaelago go namela dithaba, go fo phetha leeto la dikhilomithara tše hlano la go namela mmoto le go fologa a šireletšegile ke sona selo se segolo.",Northern Sotho
"Ka ntle le pelaelo e be e se ka baka la gore o be a nyaka go khutša go ""modirô wa xaxwe ka moka wo a o dirilexo.""",Northern Sotho
"Ka gona, baemedi ba ile ba diriša sebaka se sa mesong gabotse ka go tšea karolo tirelong ya tšhemo.",Northern Sotho
